ID,IV
352,1.788555893
247,4.712364251
320,1.527478984
283,6.101027744
548,3.330904725
577,4.191563033
525,1.770475891
303,1.69809447
306,NA
335,7.42075987
246,7.412138268
684,3.000165164
59,6.880941098
162,7.058656806
318,4.951927597
297,7.478796711
72,4.509314491
205,5.734238608
601,NA
65,4.148228384
364,5.332413552
428,4.577564436
173,2.467548457
675,2.241608524
285,3.112013974
594,4.609197257
524,9.2545833
354,5.16785529
453,3.880902386
409,6.675913584
325,7.137604054
558,5.774568555
101,7.837928
630,2.30875822
620,2.81377807
350,5.032265824
663,4.307926515
427,9.618086768
17,6.400429335
536,4.143103335
35,4.477764035
593,3.539961179
557,NA
52,4.465134523
127,11.87968218
82,6.682568204
167,4.999837241
20,4.689873853
545,7.381169612
344,5.652584293
13,NA
667,NA
282,6.741968967
447,4.207000287
71,4.112449795
602,6.430365792
126,3.704205642
34,5.621773283
151,1.990924796
387,0.530166083
591,4.144465036
462,6.971201724
86,4.456739173
290,2.577300045
615,6.183480267
55,3.085609412
521,5.952456585
537,8.131342095
270,4.041342151
608,6.320420335
341,3.3916037
681,2.267399097
571,3.969310978
550,7.345393135
666,1.417298548
605,4.898333168
647,4.115806345
507,2.415748206
314,3.108426524
599,2.954181363
174,8.053186004
327,5.009147267
137,3.458269344
503,5.245435739
367,3.651703588
233,4.613427216
176,6.374839892
401,NA
47,6.230670538
129,1.609325188
572,5.38422778
563,2.886397144
613,4.804366167
645,5.841871434
212,1.593154496
533,3.564688303
95,NA
42,8.764100007
356,5.229526886
361,5.599055347
444,5.270995925
206,4.87558053
581,8.57984405
188,5.685704881
494,3.559606364
471,4.199734162
383,6.517328494
583,7.096200225
58,5.847530032
100,4.466070989
470,4.717782481
83,4.607553019
211,4.572873119
404,6.387713292
443,5.199124443
562,5.221548802
369,3.185397753
582,3.091297377
461,4.850115834
43,8.624570562
493,4.732457777
7,4.217000878
467,9.28591906
88,2.734216782
413,0.585899
487,4.557910405
1,5.0535157
202,NA
606,NA
266,6.815113499
527,7.854965424
510,NA
337,5.359972181
241,NA
319,3.290823433
624,3.568891579
